Layer,Category,Main Type,Subtype,Purpose,Components/Techniques,Examples,Attacks Mitigated / Failure Prevented,Where to Apply,Runtime Controls,CI/Automation Checks,Priority,Risk,Owner,SLA,Metrics,Evidence,Issue Template,Promotion Gate Mapping
Validation,Format & Structure,Primitive Types,String/Number/Bool,Ensure declared primitive type is respected with bounds/coercion rules.,Type assertions; schema validators; numeric min/max; boolean strict parsing,"age:int 0..150; price:decimal(10,2); is_active:boolean only true/false","Type confusion, overflow, logic bugs, DoS via extreme values",Client+Gateway+Server,Schema-aware decoders (serde),JSON-Schema/Zod/Ajv lint; unit/property tests for boundary values,High,High,Backend,24h,Type error rate; % invalid rejected at boundary,Schema files; test logs,bug/validation-primitive,gate: contract-tests:validate-schema
Validation,Format & Structure,Identifiers,UUID/ULID/KSUID,Accept only cryptographically strong identifiers with exact format.,Regex for UUIDv4; ULID parser; length & charset checks,user_id=550e8400-e29b-41d4-a716-446655440000,Parsing errors; IDOR facilitation via sequential IDs,Server,Strong types (uuid crate),Regex/static checks; sample-based fuzzing over IDs,High,Medium,Backend,48h,Invalid-ID attempt rate,Regex + parser unit tests,bug/validation-id,gate: api:object-ownership-checks
Validation,Format & Structure,Enumerations,Whitelists,Only allow values from a fixed allowlist (enums).,Enum types; match statements; OpenAPI enums,"role in {admin,user,viewer}",Unexpected code paths; privilege creep,Client+Server,Enum exhaustiveness checks,Spectral lint for enum; compile-time enum coverage,Medium,Medium,Backend,72h,Enum misuse rate,OpenAPI snapshot,bug/validation-enum,gate: api:spec-lint
Validation,Lengths & Cardinality,Min/Max/Required,Strings/Arrays,Limit sizes to prevent parser/heap abuse; enforce required fields.,len() bounds; max collection size; required flags,username 3..32 chars; tags <= 10,"DoS, buffer issues, unexpected nulls",Client+Server+Gateway,Gateway body size limits,Fuzz size tests; gateway config check,High,High,Platform,24h,Rejected oversize rate; p95 payload size,Gateway config; fuzz reports,bug/validation-length,gate: gateway:request-size-limit
Validation,Content Validation,Unicode/Normalization,NFKC/Confusables,Canonicalize and validate Unicode to block spoofing and control chars.,NFKC normalization; block bidi; confusables detector,Usernames disallow zero-width joiners; homoglyph checks,"Phishing, auth bypass via lookalikes",Server,Unicode normalizer,Unicode lint; snapshot tests with attacker strings,Medium,Medium,AppSec,5d,Rejected confusable rate,Normalizer config + test vectors,bug/validation-unicode,gate: static:unicode-lint
Validation,Transport-Level,Protocol Limits,JSON/XML/GraphQL,"Constrain decoder depth, width, and disable dangerous features.",Max depth=20; max fields; XML no DTD; GraphQL complexity limit,Billion-laughs XML; deeply nested JSON; GQL depth 100,"Parser DoS, XXE",Gateway+Server,Depth/complexity limiters,Static analysis for parser flags; e2e DoS tests,High,High,Platform,24h,Parser OOM incidents,Config snapshots; chaos test logs,bug/validation-protocol,gate: perf:dos-resilience
Validation,Numeric & Financial,Money,Precision/Range/Currency,Accept only correct fixed-point precision and valid currency codes.,Fixed-point decimals; bankers rounding; ISO-4217 allowlist,"amount: i128 scaled by 1e2; currency in {USD,EUR,...}","Rounding attacks, overflow/underflow",Server+DB,Strong types (rust_decimal),Property tests across ranges; OpenAPI schemas,High,High,Payments,24h,Precision error rate,Property test artifacts,bug/validation-money,gate: finance:precision-checks
Validation,Temporal,Time,Timestamps/Windows/Skew,Ensure timestamps are valid and within allowed windows; order checks.,Skew window ±5m; monotonic sequence; timezone parsing,iat within ±5m; start < end,"Replay, ordering bugs",Server,Monotonic clock + NTP,Replay tests; skew simulation,High,Medium,Backend,48h,Rejected skew %,Auth server logs,bug/validation-time,gate: security:replay-protection
Validation,Security Validation,Subject Binding,Auth Context,Bind request fields to authenticated subject/identity.,token.sub == body.user_id; mTLS identities,Update profile must match token.sub,"Spoofing, confused deputy, IDOR",Server,OPA/Rego policies,Policy unit tests; negative tests,High,High,Security,24h,Mismatch rate,Policy repo & audit logs,bug/validation-subject,gate: security:object-ownership
Validation,Security Validation,Rate & Frequency,Anti-automation,Enforce rates per identity/IP/device for sensitive flows.,Token bucket; sliding window; challenge after threshold,Max 5 password resets/hour/IP,"Credential stuffing, resource exhaustion",Gateway+Server,Rate-limiter + CAPTCHA,Load tests; abuse simulations,High,High,Platform,24h,429 ratio; peak TPS tolerated,Gateway limiter config,bug/validation-rate-limit,gate: security:abuse-defense
