

| assurance_category      | api_layer                       | role                     | features                                                                                | metrics                                                            | tools                                             | purpose                                                      | alignment_note                                             |
| ----------------------- | ------------------------------- | ------------------------ | --------------------------------------------------------------------------------------- | ------------------------------------------------------------------ | ------------------------------------------------- | ------------------------------------------------------------ | ---------------------------------------------------------- |
| Security                | Security & Access               | Policy & Prevention      | Authentication, Authorization, mTLS, JWT, SIWE, OAuth2, Rate-Limiting, API Keys, CORS   | Auth success rate, Token TTL, Failed logins %, Rate-limit counters | Keycloak, josekit, OAuth2 Proxy, OPA, Envoy, Axum | Enforce identity and access policies for all requests        | ↳ Security Layer #4 (IAM) + #8 (API Gateway)               |
| Security                | Validation & Transformation     | Policy & Prevention      | JSON Schema validation, sanitization, pattern enforcement, input filtering, compression | 400/422 error ratio, schema coverage, malformed payload rate       | AJV, schemars, serde_json, Spectral, Postman      | Prevent malformed or malicious payloads from entering system | ↳ Security Layers #13 (AppSec) + #14 (API Security)        |
| Security                | Governance & Policy Enforcement | Policy & Prevention      | OPA/Rego rules, allow/deny policies, RBAC bundles, SBOM attestations                    | Policy pass %, signature verification %, approval latency          | OPA, Cosign, in-toto, Sigstore                    | Ensure API behavior follows compliance rules                 | ↳ Governance & Compliance Policy-as-Code                   |
| Protection              | Gateway                         | Runtime Containment      | Rate limiting, routing, circuit breakers, retries, load balancing                       | Gateway uptime %, retry success rate, rate-limit violation count   | Envoy, NGINX, Linkerd, Traefik, Axum Gateway      | Prevent overloads and isolate runtime faults                 | ↳ Protection Layers #3 (Rate-Limit) + #4 (Circuit Breaker) |
| Protection              | Execution & Business Logic      | Runtime Containment      | Transaction relay, cache proxy, bulkhead isolation                                      | API latency p95, transaction success %, retry efficiency           | Axum, Tower, Diesel ORM, Redis, ethers-rs         | Contain failures and limit blast radius                      | ↳ Protection Layer #6 (Sandbox & Isolation)                |
| Protection              | Integration & Event Layer       | Runtime Containment      | WebSockets, Pub/Sub, webhook authentication                                             | Event delivery %, dropped message %, throughput                    | Kafka, NATS, SSE, RabbitMQ                        | Maintain controlled event flow                               | ↳ Protection Layer #15 (Containment & Recovery)            |
| Detection & Response    | Integration & Event Layer       | Observation & Reaction   | Event subscriptions, telemetry streams, blockchain listeners                            | Alert latency, event accuracy %, dropped events                    | Kafka, NATS, Web3 WS, Forta, OpenTelemetry        | Detect anomalies and trigger incident response               | ↳ Detection #1 (Telemetry) + #2 (Threat Detection)         |
| Detection & Response    | Observability & Feedback        | Observation & Reaction   | Structured logging, tracing, metrics, /metrics endpoints                                | Trace coverage %, log completeness %, MTTR                         | Prometheus, Grafana, ELK, ClickHouse              | Observe and measure all API interactions                     | ↳ Detection #3 (Event Correlation) + #4 (Alerting)         |
| Resilience & Recovery   | Gateway                         | Restoration & Continuity | Health checks, circuit breaker, failover routing, backup routes                         | Uptime %, failover success rate                                    | Envoy, NGINX, Linkerd, Axum                       | Maintain API availability and restore after failure          | ↳ Resilience Layer (Failover + DR)                         |
| Resilience & Recovery   | Execution & Business Logic      | Restoration & Continuity | State recovery, transaction replay, workflow retry                                      | RTO, replay success %, restored tx count                           | Temporal, Axum, Diesel                            | Restore system state and continue process                    | ↳ Resilience Layer behaviors                               |
| Governance & Compliance | Governance & Policy Enforcement | Accountability & Trust   | Policy approval endpoints, signed evidence APIs, audit logs                             | Signed evidence %, SBOM integrity hash                             | OPA, Cosign, in-toto, Sigstore                    | Provide auditable and provable governance evidence           | ↳ Governance Main Type #1–3                                |
| Governance & Compliance | Observability & Feedback        | Accountability & Trust   | Audit dashboards, tamper-proof logging                                                  | Audit log completeness %, evidence verification %                  | Grafana, Loki, Elasticsearch                      | Ensure accountability and transparency                       | ↳ Governance Main Type #8 (Transparency)                   |
| Testing (Web3)          | Validation & Transformation     | Verification & Proof     | Schema fuzzing, property-based validation, payload coverage                             | Pass/fail %, schema drift count, coverage %                        | AJV, Schemathesis, jsonschema-rs, Spectral        | Verify correctness of API schema contracts                   | ↳ Tests Security & Protection schema integrity             |
| Testing (Web3)          | Testing & Simulation            | Verification & Proof     | E2E tests, RPC fuzzing, perf benchmarks                                                 | Regression diff %, latency deviation                               | Dredd, k6, Goose, Postman                         | Prove deterministic safe behavior                            | ↳ Validates Protection + Resilience                        |
| Testing (Web3)          | Security & Access               | Verification & Proof     | AuthZ fuzzing, replay, expired JWT, SIWE checks                                         | Rejection rate %, replay success %, auth test coverage %           | Postman, OPA, josekit, WalletConnect              | Verify security & identity behavior under attack simulation  | ↳ Covers Security Layers #4 (IAM) + #13 (AppSec)           |
