Category,Attack Type,Subtype / Vector,TTP Summary,Preconditions,Targets / Surface,Indicators / Signals,Tools / Techniques,Mitigations (High-level),Detection Ideas,Evidence to Collect,Severity
Reconnaissance,Open-source Intelligence (OSINT),Repo/Docs Mining,"Harvest config, keys, endpoints and deployment habits from public repos, issues, wikis, package manifests.",Public repos/docs/issues; leaked env files; verbose READMEs.,"GitHub/GitLab, package.json, Cargo.toml, Dockerfiles, CI logs.","Repo scraping, secrets in history, exposed endpoints in docs.","Ghunt, truffleHog (offense), searchsploit, Google dorks.","Secret scanning, rotate keys, move secrets to Vault/KMS, redact docs.",Monitor forks/stars/spikes; scan PR history; detect secret patterns in commits.,"Repo history, PR diffs, leaked tokens list, access logs to endpoints.",Medium
Reconnaissance,Network Mapping,Subdomain/Endpoint Enumeration,"Enumerate subdomains, API routes and ports to build an attack surface map.",DNS records resolvable; perimeter accessible; misconfigured DNS/ingress.,"*.api.example.com, staging.*; /graphql; /rpc; WS endpoints.",Burst of DNS queries; HTTP 404/405 patterns; TLS cert transparency entries.,"amass, subfinder, nmap, httpx, crt.sh.",Harden ingress; hide staging; rate-limit; WAF; robots.txt hygiene.,Detect enum spikes; honey endpoints; TLS CT monitoring.,"DNS logs, CDN logs, WAF hits, cert transparency alerts.",Medium
Initial Access,Phishing / Social Engineering,Credential Harvesting,"Lure user to fake login, steal credentials or MFA seeds/backup codes.",User with reused passwords; weak SSO hygiene; lookalike domains.,"Web portals, admin panels, email inboxes, CI dashboards.",Login success from new ASN; user-agent anomalies; impossible travel.,"Evilginx, Gophish, lookalike domains, proxy relays.",FIDO2/WebAuthn; phishing-resistant MFA; domain protection.,UEBA rules; sign-in risk scoring; brand domain monitoring.,"Auth logs, MFA challenges, IP/ASN map, mail gateway logs.",High
Initial Access,Supply Chain,Dependency Confusion / Typosquat,Publish higher-version package in public registry to hijack builds or runtimes.,Build pulls from public registry; same package name; auto-update.,"Build agents, runtime containers, serverless functions.",Unexpected dependency version; unusual DNS exfil from builds.,"npm/pip/rust typosquats, package takeover, preinstall scripts.","Private registry, pin hashes, SBOM + provenance (SLSA), signature verify.",Alert on dep drift; verify checksums; diff SBOM on CI.,"SBOM, lockfiles, registry logs, build agent egress logs.",High
Initial Access,Wallet Phishing,Permit/Signature Bait,Trick user to sign malicious EIP-2612 permit/EIP-712 typed data to drain funds.,User connects wallet; UI obfuscates domain/intent.,"User wallets, approvals to tokens/vaults, permit signatures.",Burst of approvals; new unlimited allowance; off-hours drain.,"Fake dApps, signature relays, malicious banners.","Human-readable signing (EIP-712), spend limits, session keys, allowlist domains.",Detect sudden allowance spikes; on-chain monitor for Approve events.,"Mempool txs, ERC20 Approval logs, dApp domain records, wallet telemetry.",Critical
Initial Access,Bridge Endpoint Abuse,RPC Origin Impersonation,Abuse RPC/gateway with spoofed origins or keys to submit crafted payloads.,Weak API keys; lack of mTLS; permissive CORS; origin not checked.,"Chain RPC, relayers, indexers.",High-rate method calls; odd chainId; unknown origins.,Scripted JSON-RPC floods; crafted eth_call/estimateGas probes.,"API key binding, mTLS, per-origin allowlists, rate quotas.",Detect origin mismatches; quota anomaly detection.,"Gateway logs, origin headers, key usage meter, TLS client cert logs.",High
Execution,Reentrancy,Cross-function/Untrusted Callback,Untrusted contract re-enters before state updates to drain funds.,External call before effects; no reentrancy guard; balances not updated first.,"Vaults, AMMs, lending pools, escrow.",Multiple nested calls; repeated balance change in one tx.,"Crafted contracts, fallback functions, flashbots bundling.",Checks-Effects-Interactions; reentrancy guards; pull payments.,Invariant checks on balances; call-depth heuristics.,"Internal traces, storage diffs, event sequences.",Critical
Execution,Price Oracle Manipulation,AMM/Low Liquidity,Move price via thin liquidity or TWAP gaps to borrow/drain against inflated value.,Oracle uses spot price without TWAP; manipulable pool; no sanity bounds.,"Lending protocols, margin engines, CDPs.",Short spike in reserve ratios; TWAP vs spot divergence.,"Flash loans, sandwiching, thin-pool swaps.",TWAP/chainlink oracles; price bounds; circuit breakers.,Detect TWAP/spot deviation > threshold; alert abnormal swaps.,"DEX events, oracle updates, pool reserves.",Critical
Execution,Integer Overflow/Underflow,Arithmetic Bugs,Math wraps to attacker advantage when not using safe math or wrong types.,Unchecked ops; custom math; old compiler.,"Token logic, distribution, vesting.",Large values wrap; anomalies in totalSupply/balances.,Malicious tx values; fuzz inputs near limits.,SafeMath/libs; solidity ^0.8.x checks; property tests.,Fuzz near boundaries; monitor for >max values.,"Tx traces, revert reasons, storage snapshots.",High
Execution,Access Control Bypass,Missing OnlyOwner/Role,Sensitive functions callable by anyone or wrong role checks.,No modifiers; upgradeable init not locked; proxy admin exposed.,"Admin/proxy contracts, upgraders, governance modules.",Unexpected state change by EOA; role-grant events missing.,Direct call to admin fn; delegatecall to bypass.,"RBAC, timelocks, least-privilege, pause switches.",Alert on state change without matching AdminRole event.,"Admin txs, role events, proxy admin logs.",Critical
Execution,Flash Loan Attack,Atomic Liquidity Borrow,Borrow huge funds atomically to manipulate markets/oracles and settle in same tx.,Flash liquidity available; protocols trust instantaneous state.,"AMMs, oracles, lending protocols.",Unusual large atomic flows; sudden profit spikes.,"Flash loan providers, bundlers, MEV tools.",Design for oracle resilience; block atomic dependencies.,Detect large same-block borrow/settle patterns.,Event logs: Borrow/Repay/Swap within block.,High
Execution,Signature Malleability,ECDSA malleability/nonce reuse,Exploit malleable signatures or reused nonces to replay/forge.,"No EIP-155, chainId omitted, old malleable ECDSA patterns.","Permit, meta-tx, off-chain orders.",Duplicate tx with different sig; cross-chain replay.,"Crafted sigs, altered ‘v’ values, replay relays.","EIP-155, strict chainId/nonce domain sep, EIP-712.",Detect duplicates by message hash; nonce gap alerts.,"Signed payload archives, nonce tables.",High
Persistence,Backdoor Keys,Compromised Admin Key,Obtain or plant a key with admin rights to upgrade or drain systems.,Poor key storage; hot wallets; no HSM; seed reuse.,"Proxy admin, multisig, treasury.",Admin actions from new addresses; multisig changes.,"Phishing, malware, SIM swap, cold wallet theft.","Multisig, HSM, hardware wallets, rotation, timelocks.",Alert on admin set changes; require multiple signers.,"Gnosis Safe logs, key rotation records, EOA provenance.",Critical
Persistence,Governance Takeover,Vote Buying/Flash Votes,Acquire voting power briefly to pass malicious proposals.,Flash-loanable governance tokens; quorum low; no snapshot delay.,"DAOs, treasury governance.",Spike in voting power; proposal passes unusually fast.,"Flash borrowing, bribery markets.",Snapshot-based voting; timelocks; quorum thresholds.,Detect power spike pre-vote; anomalous proposal content.,"Proposal history, token balances over time.",High
Defense Evasion,Mixer/Bridge Laundering,Cross-chain Hops,Move stolen funds through mixers/bridges to obfuscate flow.,Bridge available; tokens widely supported.,Stolen assets on L1/L2; wrapped assets.,Bridging just after exploit; mixer deposits.,"Tornado, mixers, privacy pools, bridges.","Sanctions lists, bridge monitoring, risk scoring.",Detect exploit tx → rapid bridge/mix sequence.,"Bridge logs, mixer interactions, chain analytics.",High
Defense Evasion,Log Tampering,Disable/Pause Emit,Modify or omit events to hide critical actions.,Upgradable contracts; events not enforced.,"Upgrade manager, privileged modules.",Drop in expected events; off-by-one counters.,Upgrade to new impl lacking emits.,"Immutable logging, checks on emit presence.",Detect sudden event silence patterns.,"Contract diffs, ABI events vs. runtime events.",Medium
Credential Access,Secret Theft,CI/CD / .env Exfiltration,"Steal service keys/mnemonics from CI, images, or repos.",Secrets in env or images; weak access control.,"CI agents, Docker layers, k8s secrets.",New tokens from unknown IPs; image pulls by outsiders.,"Registry scrape, image export, S3 sync.","Vault/KMS, sealed secrets, image scanning, no-hardcode policy.",Alert on new token use; diff image layers for secrets.,"CI logs, image manifests, secret rotation records.",High
Discovery,Service Enumeration,Microservice Graph Map,Probe internal APIs to learn topology and permissions.,Weak network segmentation; verbose error messages.,"Internal APIs, service mesh, message buses.",401/403 to 200 ratio changes; 404 maps.,"curl scripts, gobuster, grpcurl.","Network policies, service auth, error minimization.",Detect unusual internal scan patterns.,"Service logs, mTLS failure logs, mesh telemetry.",Medium
Lateral Movement,Compromised Token Use,Bearer/JWT Replay,Reuse stolen bearer/JWT tokens to call privileged APIs.,Token exfil; long TTL; no binding to client.,APIs with high-privilege scopes.,Legit token used from new IP/UA; odd call sequences.,"Session hijack, token replay tools.","Short TTL, DPoP/MTLS-bound tokens, revoke on anomaly.",UEBA alerts on token fingerprint mismatch.,"Auth logs, token introspection records.",High
Collection,Data Staging,Bulk Querying via GraphQL/REST,Exploit unbounded queries to pull large datasets.,No pagination/limits; no authZ filters.,"GraphQL, REST search endpoints.",Large response sizes; many sequential pages.,"Automated scrapers, introspection abuse.","Pagination, per-user row-level authZ, cost analysis.",Detect over-limit queries; GraphQL cost alarms.,"API logs, query plans, response size histograms.",High
Exfiltration,Stealthy Exfil,Chunked/NDJSON/WebSocket,Stream data in small chunks to bypass thresholds.,Streaming allowed; no anomaly detection.,"SSE/WS endpoints, NDJSON logs.",Long-lived connections; steady small throughput.,"Custom exfil clients, jq pipelines.","Rate shaping, quotas by user/token, DLP on streams.",Detect long-lived streams with uniform rate.,"Stream duration logs, per-conn bytes, DLP hits.",Medium
